Event Name,Event Date,Event Time,Event Location,Event URL
"PINKPANTHERESS","SATURDAY, OCTOBER 25","","Kings Theatre","https://www.kingstheatre.com/events/pinkpantheress-saturday/"
"HISTORIC TOUR","SUNDAY, OCTOBER 26","","Kings Theatre","https://www.kingstheatre.com/events/historic-tour-october-sunday/"
"CUCO","FRIDAY, OCTOBER 31","","Kings Theatre","https://www.kingstheatre.com/events/cuco-friday/"
"CLUE: THE MOVIE","SATURDAY, NOVEMBER 1","","Kings Theatre","https://www.kingstheatre.com/events/clue-the-movie/"
"EDEN BEN ZAKEN","SUNDAY, NOVEMBER 2","","Kings Theatre","https://www.kingstheatre.com/events/eden-ben-zaken/"
"RED BULL SYMPHONIC FEATURING ASAKE","SATURDAY, NOVEMBER 8","","Kings Theatre","https://www.kingstheatre.com/events/red-bull-symphonic/"
"WENDY","SUNDAY, NOVEMBER 9","","Kings Theatre","https://www.kingstheatre.com/events/wendy/"
"PIVOT WITH KARA SWISHER AND SCOTT GALLOWAY","MONDAY, NOVEMBER 10","","Kings Theatre","https://www.kingstheatre.com/events/pivot-podcast/"
"NY COMEDY FESTIVAL PRESENTS MORGAN JAY: THE GOOFY GUY TOUR","TUESDAY, NOVEMBER 11","","Kings Theatre","https://www.kingstheatre.com/events/morgan-jay/"
"112 - ROOM 112 TOUR","THURSDAY, NOVEMBER 13","","Kings Theatre","https://www.kingstheatre.com/events/112/"
"MY FAVORITE MURDER LIVE (7PM)","SATURDAY, NOVEMBER 15","","Kings Theatre","https://www.kingstheatre.com/events/my-favorite-murder-1/"
"MY FAVORITE MURDER LIVE (9:30PM)","SATURDAY, NOVEMBER 15","","Kings Theatre","https://www.kingstheatre.com/events/my-favorite-murder-2/"
"TWILIGHT IN CONCERT","SUNDAY, NOVEMBER 16","","Kings Theatre","https://www.kingstheatre.com/events/twilight-in-concert/"
"LOUIS CK | RIDICULOUS","THURSDAY, NOVEMBER 20","","Kings Theatre","https://www.kingstheatre.com/events/louis-ck-thursday/"
"LOUIS CK | RIDICULOUS","FRIDAY, NOVEMBER 21","","Kings Theatre","https://www.kingstheatre.com/events/louis-ck-friday/"
"LOUIS CK | RIDICULOUS","SATURDAY, NOVEMBER 22","","Kings Theatre","https://www.kingstheatre.com/events/louis-ck-saturday/"
"FITO PAEZ","SUNDAY, NOVEMBER 23","","Kings Theatre","https://www.kingstheatre.com/events/fito-paez/"
"THANKSGIVING DAY LUNCHEON","TUESDAY, NOVEMBER 25","","Kings Theatre","https://www.kingstheatre.com/events/thanksgiving-luncheon/"
"A CHARLIE BROWN CHRISTMAS","FRIDAY, NOVEMBER 28","","Kings Theatre","https://www.kingstheatre.com/events/charlie-brown-christmas/"
"POETRY ME, PLEASE","SATURDAY, NOVEMBER 29","","Kings Theatre","https://www.kingstheatre.com/events/poetry-me-please/"
"AN EVENING WITH JOHN CUSACK AND SCREENING OF ""SAY ANYTHING""","SUNDAY, NOVEMBER 30","","Kings Theatre","https://www.kingstheatre.com/events/john-cusack/"
"THE JINKX & DELA HOLIDAY SHOW","THURSDAY, DECEMBER 4","","Kings Theatre","https://www.kingstheatre.com/events/jinkx-and-dela/"
"ERYKAH BADU MAMA'S GUN '25","FRIDAY, DECEMBER 5","","Kings Theatre","https://www.kingstheatre.com/events/erykah-badu-friday/"
"ERYKAH BADU MAMA'S GUN '25","SATURDAY, DECEMBER 6","","Kings Theatre","https://www.kingstheatre.com/events/erykah-badu-saturday/"
"KEYLAND UNCANNY VALLEY","WEDNESDAY, DECEMBER 10","","Kings Theatre","https://www.kingstheatre.com/events/key/"
"A NOSTALGIC NIGHT WITH MACAULAY CULKIN: HOME ALONE 35TH ANNIVERSARY","FRIDAY, DECEMBER 12","","Kings Theatre","https://www.kingstheatre.com/events/home-alone/"
"ALI SIDDIQ: IN THE SHADOWS","SATURDAY, DECEMBER 13","","Kings Theatre","https://www.kingstheatre.com/events/ali-siddiq/"
"WAITING TO EXHALE IN CONCERT","SUNDAY, DECEMBER 14","","Kings Theatre","https://www.kingstheatre.com/events/waiting-to-exhale/"
"LEON LACEY'S BLACK TIE CINEMATIC SYMPHONY","SATURDAY, DECEMBER 20","","Kings Theatre","https://www.kingstheatre.com/events/leon-lacey-btcs/"
"LOUIS CK | RIDICULOUS","WEDNESDAY, DECEMBER 31","","Kings Theatre","https://www.kingstheatre.com/events/louis-ck-nye/"
"2025-26 ONEW WORLD TOUR [ONEW THE LIVE : PERCENT (%)] IN USA","FRIDAY, JANUARY 16, 2026","","Kings Theatre","https://www.kingstheatre.com/events/onew/"
"GABBY’S DOLLHOUSE LIVE! PRESENTED BY WALMART","SUNDAY, FEBRUARY 1, 2026","","Kings Theatre","https://www.kingstheatre.com/events/gabbys-dollhouse-matinee/"
"ON CINEMA – THE CERTIFIED “FIVE BAGS OF POPCORN” TOUR","FRIDAY, APRIL 3, 2026","","Kings Theatre","https://www.kingstheatre.com/events/on-cinema/"
"VERKA SERDUCHKA & BAND","SUNDAY, APRIL 12, 2026","","Kings Theatre","https://www.kingstheatre.com/events/verka-serduchka/"
"WILD KRATTS LIVE 2.0: ACTIVATE CREATURE POWER! (1PM SHOW)","SATURDAY, APRIL 18, 2026","","Kings Theatre","https://www.kingstheatre.com/events/wild-kratts-matinee/"
"WILD KRATTS LIVE 2.0: ACTIVATE CREATURE POWER! (5PM SHOW)","SATURDAY, APRIL 18, 2026","","Kings Theatre","https://www.kingstheatre.com/events/wild-kratts-evening/"
"MICHAEL MCINTYRE","SUNDAY, APRIL 19, 2026","","Kings Theatre","https://www.kingstheatre.com/events/michael-mcintyre/"
"JODECI","SUNDAY, MAY 10, 2026","","Kings Theatre","https://www.kingstheatre.com/events/jodeci/"
"Tasha & Naomi LIVE","THURSDAY, OCTOBER 23","","Kings Theatre","https://www.kingstheatre.com/events/tasha-cobbs-leonard/"
"PINKPANTHERESS","FRIDAY, OCTOBER 24","","Kings Theatre","https://www.kingstheatre.com/events/pinkpantheress-friday/"
